  aeroplane|■■■■■■■■■■■■■■■■■■■■                    |0.51
    bicycle|■■■■■                                   |0.13
       bird|■■■■■■■                                 |0.19
       boat|■■■■■■■■                                |0.22
     bottle|■■■                                     |0.09
        bus|■■■■■■■■■■■■■■■■■                       |0.43
        car|■■■■■                                   |0.13
        cat|■■■■■■■■■■■■■■■■■■■                     |0.48
      chair|■■■                                     |0.09
        cow|■■■■■■■                                 |0.18
diningtable|■■                                      |0.06
        dog|■■■■■■■■■■■■                            |0.32
      horse|■                                       |0.04
  motorbike|■■■■■■                                  |0.16
     person|■■■■■■■■■■■■■■■■■                       |0.44
pottedplant|■■■                                     |0.09
      sheep|■■■■■■■■■■■                             |0.30
       sofa|■■■■■                                   |0.14
      train|■■■■■■■■■■■■■■■                         |0.40
  tvmonitor|■■■■                                    |0.11
mAP50: 0.22488195
