  aeroplane|■■■■■■■■■■■■■■■■■■■■                    |0.51
    bicycle|■■■■■                                   |0.13
       bird|■■■■■■■■■■■■■                           |0.34
       boat|■■■■■■                                  |0.15
     bottle|■■                                      |0.05
        bus|■■■■■■■■■■■■■■■■                        |0.41
        car|■■■■■                                   |0.14
        cat|■■■■■■■■■■■■■■■■■■■■■■■                 |0.59
      chair|■■■■                                    |0.10
        cow|■■■■■■■■■■                              |0.26
diningtable|■■■■                                    |0.10
        dog|■■■■■■■■■■■■■■                          |0.37
      horse|■■■■■                                   |0.13
  motorbike|■■■■■■                                  |0.16
     person|■■■■■■■■■■■■■■■■■■■■■■                  |0.55
pottedplant|■■■                                     |0.09
      sheep|■■■■■■■■■■■■■■■                         |0.39
       sofa|■■■                                     |0.08
      train|■■■■■■■■■■■■■■■■■■                      |0.46
  tvmonitor|■■■                                     |0.10
mAP50: 0.25553376
